PI_ID	ORG_NAME	DIRECT_COST_AMT	TOTAL_COST
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	8708990.0	8727018.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	15033966.0	16738113.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	6813472.0	6808544.0
1991449	GEORGE WASHINGTON UNIVERSITY	5719620.0	3162825.0
7897640	BROAD INSTITUTE, INC.	1178357.0	
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	7007011.0	7007011.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	9428506.0	10000000.0
2059843	NORTHERN CALIFORNIA INSTITUTE/RES/EDU	10395541.0	
7897640	BROAD INSTITUTE, INC.	5226973.0	4719414.0
1882834	NEW YORK UNIVERSITY SCHOOL OF MEDICINE	33203136.0	33203136.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	2285714.0	2502196.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	1233238.0	1270235.0
6365670	FRED HUTCHINSON CANCER CENTER	1068156.0	1077287.0
6365670	FRED HUTCHINSON CANCER CENTER	4619443.0	4637125.0
6365670	FRED HUTCHINSON CANCER CENTER	7243940.0	8696751.0
6365670	FRED HUTCHINSON CANCER CENTER	3500473.0	3544100.0
6365670	FRED HUTCHINSON CANCER CENTER	452729.0	531957.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	565481.0	586880.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	1213203.0	1324786.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	3024996.0	5323993.0
11529936	RESEARCH TRIANGLE INSTITUTE	18821635.0	18821635.0
1860045	FRED HUTCHINSON CANCER CENTER	29049304.0	34194667.0
6365670	FRED HUTCHINSON CANCER CENTER	27490868.0	30868345.0
6365670	FRED HUTCHINSON CANCER CENTER	1361271.0	1226577.0
1860045	FRED HUTCHINSON CANCER CENTER	9754127.0	9754127.0
1860045	FRED HUTCHINSON CANCER CENTER	3879990.0	3879990.0
1860045	FRED HUTCHINSON CANCER CENTER	5663427.0	5663427.0
1860045	FRED HUTCHINSON CANCER CENTER	224924.0	293963.0
1860045	FRED HUTCHINSON CANCER CENTER	51744826.0	55953346.0
1860045	FRED HUTCHINSON CANCER CENTER	10432266.0	17943267.0
6365670	FRED HUTCHINSON CANCER CENTER	8787484.0	11222643.0
6365670	FRED HUTCHINSON CANCER CENTER	714279.0	929677.0
6365670	FRED HUTCHINSON CANCER CENTER	3792805.0	3805979.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	60428606.0	71500000.0
11529936	RESEARCH TRIANGLE INSTITUTE	6395703.0	6395703.0
11529936	RESEARCH TRIANGLE INSTITUTE	171499647.0	171499647.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	74469.0	132182.0
7897640	BROAD INSTITUTE, INC.	63753299.0	65625924.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	12117142.0	15601776.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	16079501.0	17327975.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	1233238.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	2285714.0	
1872615	BRIGHAM AND WOMEN'S HOSPITAL	3967025.0	4338234.0
6365670	FRED HUTCHINSON CANCER CENTER	1681320.0	1857247.0
6365670	FRED HUTCHINSON CANCER CENTER	39478701.0	38409483.0
1860045	FRED HUTCHINSON CANCER CENTER	39018457.0	38851667.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	3527198.0	3794297.0
1889666	FAMILY HEALTH INTERNATIONAL	28018561.0	22319447.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	45671637.0	39807800.0
11529936	RESEARCH TRIANGLE INSTITUTE	374635.0	398234.0
1860045	FRED HUTCHINSON CANCER CENTER	1438731.0	1438731.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	18334418.0	14419380.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	5202310.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	5474384.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	7657724.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	18229564.0	5769127.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	8215221.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	5973730.0	
1986254	SCRIPPS RESEARCH INSTITUTE, THE	3904329.0	6029792.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	420260.0	423072.0
6365670	SEATTLE CHILDREN'S HOSPITAL	261910.0	
6365670	SEATTLE CHILDREN'S HOSPITAL	190651.0	
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	23705040.0	8723068.0
1860045	FRED HUTCHINSON CANCER CENTER	2683830.0	2683830.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	6797956.0	7117835.0
7897640	BROAD INSTITUTE, INC.	1272729.0	
2059843	NORTHERN CALIFORNIA INSTITUTE/RES/EDU	13680858.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	246750.0	253250.0
7897640	BROAD INSTITUTE, INC.	5799372.0	5587520.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	24910998.0	28125414.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	1094150.0	1094150.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	697175.0	697175.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	16470071.0	2500001.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	1090765.0	1336498.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	749594.0	772082.0
1882834	NEW YORK UNIVERSITY SCHOOL OF MEDICINE	59963139.0	59963139.0
6365670	FRED HUTCHINSON CANCER CENTER	1324238.0	1748110.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	44446084.0	54000000.0
11529936	RESEARCH TRIANGLE INSTITUTE	417201451.0	417201451.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	61593136.0	76222582.0
6365670	FRED HUTCHINSON CANCER CENTER	2452091.0	3200000.0
1860045	FRED HUTCHINSON CANCER CENTER	305278.0	305278.0
1860045	FRED HUTCHINSON CANCER CENTER	15879385.0	19404520.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	313096.0	322489.0
1889666	FAMILY HEALTH INTERNATIONAL	967180.0	1007764.0
7897640	BROAD INSTITUTE, INC.	32462047.0	34300000.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	526434.0	663307.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	749594.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	526434.0	
7897640	BROAD INSTITUTE, INC.	1129250.0	1129250.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	104366.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	104365.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	104365.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	1090765.0	
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	2220197.0	2302202.0
6365670	FRED HUTCHINSON CANCER RESEARCH CENTER	26041577.0	25705512.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	4020744.0	4522429.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	28514227.0	36148992.0
1889666	FAMILY HEALTH INTERNATIONAL	40185848.0	42425177.0
7897640	BROAD INSTITUTE, INC.	23629842.0	20000000.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	787550.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	31988.0	
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	1184568.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	15501864.0	11882464.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	4291572.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	4459947.0	
1873940	NRG ONCOLOGY FOUNDATION, INC.	6750345.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	15123092.0	13006743.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	6833345.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	3334382.0	
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	4955365.0	
1882834	NEW YORK UNIVERSITY SCHOOL OF MEDICINE	225000.0	379014.0
1986254	SCRIPPS RESEARCH INSTITUTE, THE	3652096.0	5562075.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	474371.0	667493.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	323682.0	349217.0
6365670	SEATTLE CHILDREN'S HOSPITAL	1409149.0	
6365670	SEATTLE CHILDREN'S HOSPITAL	700977.0	
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	12742381.0	13976431.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	483174.0	517828.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	1862398.0	2251991.0
